epoch	loss	acc	val_loss	val_acc
0	0.726675	0.530746	0.695636	0.508750
1	0.684125	0.539634	0.668473	0.572500
2	0.681772	0.561992	0.664929	0.598750
3	0.658541	0.603659	0.630751	0.662500
4	0.641581	0.621951	0.638210	0.635000
5	0.617909	0.660061	0.606918	0.663750
6	0.614273	0.680894	0.614304	0.661250
7	0.586211	0.701728	0.568409	0.698750
8	0.569441	0.712907	0.559661	0.711250
9	0.542795	0.727642	0.534266	0.721250
10	0.547270	0.725610	0.566998	0.697500
11	0.538752	0.729675	0.530815	0.745000
12	0.516588	0.760163	0.530502	0.718750
13	0.519465	0.737297	0.520883	0.721250
14	0.504945	0.753557	0.513845	0.746250
15	0.492965	0.761687	0.573099	0.707500
16	0.488129	0.763720	0.528000	0.743750
17	0.451935	0.790142	0.506944	0.756250
18	0.459046	0.785061	0.503631	0.748750
19	0.462116	0.777947	0.517370	0.737500
20	0.431576	0.806402	0.502518	0.758750
21	0.464706	0.778963	0.503014	0.761250
22	0.425835	0.801321	0.505374	0.760000
23	0.415667	0.817581	0.485527	0.771250
24	0.434141	0.796240	0.500105	0.763750
25	0.405469	0.816057	0.495185	0.755000
26	0.384293	0.817073	0.465428	0.778750
27	0.406025	0.816057	0.469220	0.765000
28	0.381841	0.832825	0.618501	0.737500
29	0.373532	0.841972	0.484950	0.765000
30	0.370563	0.831809	0.482323	0.778750
31	0.327224	0.858740	0.498800	0.777500
32	0.360893	0.843496	0.593609	0.763750
33	0.346186	0.836890	0.543353	0.783750
34	0.325926	0.851118	0.471264	0.785000
35	0.318373	0.859756	0.491011	0.795000
36	0.320947	0.857215	0.550861	0.786250
37	0.284627	0.880081	0.499220	0.795000
38	0.329027	0.865346	0.503669	0.791250
39	0.289418	0.874492	0.514979	0.778750
40	0.298174	0.873476	0.504997	0.785000
41	0.293370	0.871443	0.551311	0.787500
42	0.291281	0.871951	0.534306	0.772500
43	0.309764	0.871443	0.571918	0.780000
44	0.287898	0.872967	0.566128	0.765000
45	0.264287	0.879065	0.535585	0.775000
46	0.251432	0.883130	0.640396	0.767500
47	0.269593	0.885163	0.574873	0.785000
48	0.248777	0.891260	0.534915	0.787500
49	0.246451	0.897866	0.615298	0.790000
